Name,Level,OverallScore,Club,Decisions,Composure,First Touch,Tempo,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Balance,Carries,Flair,Skills,Takeons,Close,Long Shots,Penalty,Set Piece,Pass Accuracy,Cross,Pass Range,Through,Intensity,Pressing,Recovery,Stamina,Bravery,Blocking,Marking,Tackling,Anticipation,Awareness,Concentration,Positioning,Aerial Duels,Coordination,Heading,Jumping,Acceleration,Agility,Pace,Reactions,Aggression,Duels,Hold Up,Throwing,TechnicalScore,MentalScore,PhysicalScore,TacticalScore
Andy Robertson,90,83.8,Liverpool,Good,Good,Good,Average,Excellent,Excellent,Good,Excellent,Average,Good,Good,Good,Excellent,Average,Average,Good,Average,Average,Average,Average,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Good,75,80,85,95
Ivan Toney,88,83.8,Brentford,Good,Excellent,Good,Good,Good,Good,Excellent,Average,Excellent,Good,Excellent,Good,Good,Average,Average,Average,Excellent,Excellent,Excellent,Good,Good,Average,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Average,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Average,Good,Good,Good,Excellent,Excellent,Excellent,80,83,88,83
John McGinn,88,83.3,Aston Villa,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Average,Average,Average,Average,Average,Average,Good,Excellent,Excellent,Excellent,Excellent,82,85,77,90
Thiago Silva,90,83.3,Chelsea,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Average,Good,Average,Good,Good,Average,Good,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Average,Good,Average,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Average,Good,Good,Excellent,Good,Good,77,83,85,88
Bruno Fernandes,92,83.3,Manchester United,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Good,Average,Average,Average,Excellent,Excellent,Excellent,Good,Average,Good,Average,Average,Average,Good,Average,Excellent,Average,Average,Average,Average,90,95,67,82
Kobbie Mainoo,87,83.3,Manchester United,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,82,85,78,88
Yves Bissouma,88,82.9,Tottenham Hotspur,Good,Excellent,Excellent,Excellent,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Average,Average,Average,Average,Good,Average,Excellent,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Average,Good,Average,Good,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,78,87,80,87
Gabriel Jesus,87,82.9,Arsenal,Good,Good,Excellent,Good,Average,Average,Good,Average,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Average,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Average,Good,Good,Excellent,Good,Good,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Good,88,80,82,82
Erling Haaland,93,82.9,Manchester City,Good,Good,Good,Good,Good,Good,Excellent,Average,Good,Good,Excellent,Good,Good,Good,Average,Average,Excellent,Excellent,Excellent,Average,Good,Average,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Average,Average,Good,Good,Average,Average,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,78,82,95,77
Josko Gvardiol,91,82.9,Manchester City,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Average,Average,Average,Good,Good,Good,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,75,77,85,95
Mohamed Kudus,91,82.5,West Ham United,Good,Excellent,Good,Good,Good,Average,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,88,83,77,82
Moises Caicedo,89,82.5,Chelsea,Good,Excellent,Good,Good,Average,Good,Good,Excellent,Average,Good,Good,Excellent,Good,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Average,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,72,78,85,95
Diogo Jota,88,82.5,Liverpool,Excellent,Excellent,Excellent,Good,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Average,Average,Good,Average,83,83,83,80
Nathan Aké,90,82.5,Manchester City,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Good,Good,Good,Good,Average,Good,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,78,80,83,88
Cole Palmer,90,82.5,Chelsea,Good,Excellent,Excellent,Good,Average,Good,Excellent,Average,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Average,Good,Average,Average,Average,Good,Good,Good,Good,Average,Average,Good,Good,Average,Good,Good,Good,Good,Average,Good,Good,Average,97,87,73,73
Lucas Paqueta,92,82.1,West Ham United,Good,Excellent,Excellent,Good,Average,Average,Good,Average,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Average,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,85,83,80,80
Matheus Cunha,88,82.1,Wolverhampton Wanderers,Good,Excellent,Excellent,Good,Good,Average,Good,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Average,Good,Good,Good,Average,Good,Excellent,Good,Good,Average,Good,Good,Average,90,85,77,77
Reece Lewis James,90,82.1,Chelsea,Excellent,Good,Good,Good,Average,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Average,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Excellent,Good,Excellent,83,82,82,82
Cristian Romero,90,82.1,Tottenham Hotspur,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,Good,Average,Average,Good,Average,Good,Good,Excellent,Good,Average,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Average,Good,Excellent,Excellent,Excellent,Good,Good,72,82,87,88
Ederson,93,81.7,Manchester City,Good,Good,Good,Excellent,Good,Good,Excellent,Average,Good,Excellent,Good,Good,Average,Average,Average,Average,Good,Good,Good,Good,Excellent,Average,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Average,Average,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Average,Excellent,Average,Excellent,Average,Excellent,Good,Good,Average,Excellent,77,82,83,85
Dominik Szoboszlai,90,81.7,Liverpool,Good,Good,Good,Good,Good,Good,Excellent,Average,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Average,Average,Average,Average,Good,Good,Good,Average,Good,Good,Average,Good,Excellent,Good,Excellent,Good,Average,Good,Good,Average,95,82,78,72
Julian Alvarez,89,81.7,Manchester City,Excellent,Good,Good,Good,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Good,Average,Good,Average,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Average,Average,Good,Excellent,Excellent,Excellent,Good,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Good,82,78,82,85
João Palhinha,90,81.7,Fulham,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Good,Good,Good,Average,Average,Average,Average,Average,Average,Good,Good,Good,Good,Average,Good,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Average,Good,Good,Average,Average,Average,Good,Excellent,Excellent,Good,Excellent,68,80,78,100
Gabriel Magalhães,89,81.7,Arsenal,Good,Average,Good,Good,Excellent,Good,Excellent,Excellent,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Good,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Average,Good,Good,Excellent,Excellent,Good,Excellent,65,78,88,95
Pape Sarr,87,81.7,Tottenham Hotspur,Excellent,Excellent,Good,Good,Average,Good,Good,Excellent,Good,Good,Excellent,Good,Excellent,Average,Good,Good,Good,Average,Average,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Excellent,Average,77,83,78,88
Ruben Dias,92,81.3,Manchester City,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Good,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Average,Average,Good,Excellent,Excellent,Excellent,Good,Good,67,80,85,93
Ollie Watkins,89,81.3,Aston Villa,Good,Good,Good,Average,Average,Good,Excellent,Excellent,Good,Average,Excellent,Good,Good,Good,Average,Good,Excellent,Good,Good,Average,Good,Good,Average,Good,Excellent,Excellent,Good,Good,Good,Average,Average,Average,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,77,80,85,83
Edson Alvarez,88,81.3,West Ham United,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Average,Good,Good,Good,Good,Average,Average,Average,Average,Good,Average,Average,Excellent,Average,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Average,73,82,77,93
Jorginho,91,81.3,Arsenal,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Good,Average,Average,Average,Average,Average,Average,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Average,Good,Good,Average,Average,Good,Average,Good,Average,Average,Average,Average,78,90,67,90
Cody Gakpo,89,81.3,Liverpool,Excellent,Excellent,Good,Good,Average,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Average,Good,Good,Good,82,83,80,80
Anthony Gordon,88,81.3,Newcastle United,Good,Good,Good,Good,Average,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Average,Average,Excellent,Good,Good,Good,Average,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Average,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,78,80,80,87
Alexander Isak,90,80.8,Newcastle United,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Average,Good,Good,Good,82,83,82,77
Justin Kluivert,87,80.8,Bournemouth,Good,Excellent,Excellent,Good,Good,Good,Good,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Good,Excellent,Good,Good,Good,Average,Good,Average,Average,Excellent,Excellent,Good,Excellent,Average,Average,Average,Average,87,87,73,77
Eberechi Eze,89,80.4,Crystal Palace,Good,Excellent,Excellent,Good,Average,Average,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Average,Average,Average,Average,Good,Good,Good,Average,Average,Good,Average,Average,Good,Excellent,Good,Good,Average,Average,Good,Average,93,85,72,72
Trent Alexander-Arnold,89,80.4,Liverpool,Average,Excellent,Good,Average,Average,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Average,Average,Good,Average,Good,Good,Average,Excellent,Good,Average,Average,Average,Good,Average,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,92,80,78,72
Moussa Diaby,88,80.4,Aston Villa,Good,Good,Excellent,Good,Average,Average,Good,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Average,Average,Average,Good,Good,Good,Good,Average,Good,Average,Average,Excellent,Excellent,Excellent,Excellent,Average,Average,Good,Average,90,83,77,72
Christopher Nkunku,90,80.4,Chelsea,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Average,Average,Average,Good,Good,Good,Good,Average,Good,Good,Average,Excellent,Excellent,Good,Good,Good,Average,Average,Average,85,85,75,77
Kai Havertz,89,80.4,Arsenal,Good,Good,Good,Good,Good,Average,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Average,Good,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Average,Good,Excellent,Average,Good,Average,Good,Average,Good,Good,Good,77,82,77,87
Joelinton,86,80.4,Newcastle United,Good,Average,Good,Average,Good,Average,Excellent,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Good,Good,Average,Average,Good,Average,Good,Average,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Average,Average,Good,Good,Excellent,Excellent,Excellent,Good,73,77,83,88
Marc Guehi,89,80.4,Crystal Palace,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Good,Average,Good,Good,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Average,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Average,Excellent,65,80,85,92
John Stones,91,80.4,Manchester City,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Excellent,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Excellent,68,77,88,88
Luis Diaz,88,80.0,Liverpool,Good,Excellent,Good,Good,Average,Average,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Average,Average,Average,Good,Good,Good,Good,Good,Excellent,Average,Good,Excellent,Excellent,Good,Good,Average,Average,Average,Average,83,83,77,77
Ben Chilwell,88,80.0,Chelsea,Good,Good,Good,Good,Good,Good,Good,Average,Excellent,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,83,82,75,80
Phil Foden,92,80.0,Manchester City,Good,Excellent,Excellent,Good,Average,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Average,Good,Average,Average,Excellent,Good,Average,Good,Poor,Good,Average,Poor,Good,Excellent,Good,Excellent,Average,Poor,Average,Poor,92,88,65,75
Micky van de Ven ,90,80.0,Tottenham Hotspur,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Average,Good,Average,Average,Good,Good,Good,Average,Average,Excellent,Average,Good,Average,Good,Good,Excellent,Good,Good,Average,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Average,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,72,82,85,82
Darwin Nunez,87,80.0,Liverpool,Average,Average,Good,Average,Average,Good,Excellent,Average,Good,Average,Excellent,Good,Good,Good,Average,Average,Good,Excellent,Good,Good,Good,Good,Average,Average,Excellent,Excellent,Good,Good,Good,Average,Average,Good,Excellent,Good,Average,Good,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,75,73,92,80
Thomas Partey,88,80.0,Arsenal,Good,Good,Good,Good,Good,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Average,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Average,Good,Good,Average,Average,Average,Good,Excellent,Excellent,Good,Excellent,77,77,78,88
Wataru Endo,87,80.0,Liverpool,Excellent,Good,Average,Good,Good,Average,Good,Excellent,Average,Good,Good,Good,Good,Average,Average,Average,Average,Good,Average,Average,Good,Average,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Average,70,77,78,95
Ethan Pinnock,87,80.0,Brentford,Excellent,Good,Average,Good,Good,Good,Good,Excellent,Average,Good,Average,Good,Average,Average,Average,Average,Good,Average,Average,Average,Good,Average,Good,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,67,77,87,90
Max Kilman,87,79.6,Wolverhampton Wanderers,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Average,Good,Average,Good,Good,Average,Average,Good,Good,Average,Average,Average,Good,Average,Good,Good,Average,Average,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Average,72,78,85,83
Eddie Nketiah,85,79.6,Arsenal,Good,Good,Good,Average,Good,Good,Good,Excellent,Average,Average,Excellent,Good,Good,Average,Average,Average,Excellent,Good,Good,Average,Good,Average,Average,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Average,Average,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,73,77,82,87
Bernardo Silva,92,79.6,Manchester City,Excellent,Excellent,Excellent,Excellent,Average,Good,Average,Good,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Good,Average,Good,Excellent,Excellent,Good,Poor,Average,Average,Average,Good,Excellent,Good,Good,Average,Poor,Poor,Poor,92,85,62,80
Boubacar Kamara,87,79.6,Aston Villa,Excellent,Excellent,Good,Excellent,Good,Average,Average,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Good,Good,Average,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Average,Average,Average,Average,Good,Good,Average,Good,Average,Good,Good,Average,75,85,68,90
Pierre-Emile Højbjerg,87,79.2,Tottenham Hotspur,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Average,Excellent,Good,Good,Good,Good,Good,Average,Average,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Average,80,85,65,87
Jarred Bowen,88,79.2,West Ham United,Good,Average,Good,Average,Average,Good,Good,Excellent,Good,Average,Good,Good,Excellent,Average,Good,Good,Excellent,Good,Average,Good,Average,Good,Average,Average,Good,Excellent,Good,Good,Good,Good,Average,Average,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Average,77,73,85,82
Oleksandr Zinchenko,87,79.2,Arsenal,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Average,Average,Good,Good,Average,Good,Good,Good,Average,Average,85,82,70,80
Ben White,88,79.2,Arsenal,Good,Good,Good,Good,Average,Average,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Average,Average,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,72,78,80,87
